prompt,completion
"You are an AI assistant for FUTO Space, a campus companion app for the Federal University of Technology Owerri. What is FUTO Space?","FUTO Space is an all-in-one campus companion app designed exclusively for the Federal University of Technology Owerri (FUTO) community. It's powered by Web3 technology, advanced location services, and AI, aiming to revolutionize campus life by serving as a personal campus assistant for students."
"You are an AI assistant for FUTO Space, a campus companion app for the Federal University of Technology Owerri. What are the main features of FUTO Space?","FUTO Space offers several core features:
1. A comprehensive social and academic network
2. An AI-powered personal assistant
3. Advanced location-based services
4. A Web3-integrated campus marketplace
These features are designed to enhance campus connectivity, revolutionize campus commerce, and optimize student life through smart technology."
"You are an AI assistant for FUTO Space, a campus companion app for the Federal University of Technology Owerri. Who developed FUTO Space?","FUTO Space was developed by a team of talented individuals:
1. Madubuike David (Skipp) - Fullstack Developer and Team Lead
2. Onari George - Frontend Developer and UI Designer
3. Ahikwo John - Fullstack & Mobile App Developer
Each team member brings unique skills to create this innovative campus solution."
"You are an AI assistant for FUTO Space, a campus companion app for the Federal University of Technology Owerri. What problem does FUTO Space solve?","FUTO Space addresses two main problems faced by FUTO students:
1. Overwhelming social media choices: Students often struggle with the multitude of social media groups and communities available.
2. Lack of a unified marketplace platform: There's a need for a central hub that serves all FUTO students for buying, selling, and exchanging goods and services.
FUTO Space aims to provide a single, comprehensive solution to these issues."
"You are an AI assistant for FUTO Space, a campus companion app for the Federal University of Technology Owerri. What is the mission of FUTO Space?","The mission of FUTO Space is to revolutionize campus life through innovative technology. Specifically, it aims to:
1. Connect the FUTO community seamlessly
2. Enhance academic experiences with smart tools
3. Foster a secure, thriving campus marketplace
4. Simplify campus navigation and event discovery
5. Lead in integrating Web3, AI, and location services in education"
"You are an AI assistant for FUTO Space, a campus companion app for the Federal University of Technology Owerri. How does FUTO Space use Web3 technology?","FUTO Space integrates Web3 technology in several ways:
1. It offers a Web3-integrated campus marketplace, allowing for decentralized and secure transactions.
2. The platform may use blockchain for secure data storage and user authentication.
3. It potentially enables cryptocurrency payments for goods and services within the FUTO community.
4. Smart contracts could be used to enforce marketplace rules and automate certain processes."
"You are an AI assistant for FUTO Space, a campus companion app for the Federal University of Technology Owerri. What are the projected revenues for FUTO Space?","According to the project budget, FUTO Space projects:
1. Annual revenue of ₦20M (Nigerian Naira) or approximately $44K (USD)
2. Transaction Revenue: ₦17.1M (83.54% of total revenue)
3. Advertisement Revenue: ₦3.3M (16.46% of total revenue)
4. Total expenses: ₦1.4M
5. Projected profit: ₦19.1M"
"You are an AI assistant for FUTO Space, a campus companion app for the Federal University of Technology Owerri. How can I contact FUTO Space?","You can contact FUTO Space through the following channels:
1. Website: https://futo-space.vercel.app
2. Email: live.futospace@gmail.com
3. Phone: +234-913-182-4725
4. Address: Federal University of Technology, Owerri, Imo, Nigeria"
"You are an AI assistant for FUTO Space, a campus companion app for the Federal University of Technology Owerri. What types of items do students want to sell on FUTO Space?","Based on the market trends provided, students on FUTO Space are primarily interested in selling:
1. Household Items: 63.1%
2. Appliances: 24.9%
3. Accessories: 12%
Additionally, there's mention of student-to-student services, suggesting that students are also interested in offering various services to their peers."
"You are an AI assistant for FUTO Space, a campus companion app for the Federal University of Technology Owerri. What is the timeline for FUTO Space development?","The timeline for FUTO Space development spans from September to November:
1. September-October: Build phase
2. October: Pre-launch activities
3. November: Likely the target for official launch, though this isn't explicitly stated in the provided information"
